State,City,Avg_Departure_Delay,Total_Cancellations,Latitude,Longitude
Texas,Dallas,14.325704991488537,36698,32.7762719,-96.7968559
North Carolina,Fayetteville,13.62100519930676,417,36.0625843,-94.1574328
North Carolina,Raleigh,13.915027820851957,6492,35.7803977,-78.6390989
Florida,Sarasota,15.774258521469676,1456,27.3365805,-82.5308545
Indiana,Evansville,12.334661127866614,537,37.970495,-87.5715641
Massachusetts,Boston,14.318429105062746,15383,42.3554334,-71.060511
Mississippi,Jackson,12.807840740978968,958,32.2998686,-90.1830408
Georgia,Savannah,14.58970825051865,2308,32.0790074,-81.0921335
Ohio,Dayton,12.894246384657025,1338,39.7589478,-84.1916069
North Dakota,Minot,15.084219284459646,305,48.23251,-101.296273
Alabama,Dothan,12.138067061143984,35,31.2237285,-85.3934375
New Hampshire,Manchester,11.136823404682083,1274,42.9956397,-71.4547891
Connecticut,Hartford,12.452453282702109,3105,41.764582,-72.6908547
Michigan,Lansing,14.289250061876082,423,42.7338254,-84.5546295
Arkansas,Little Rock,12.401085772179,1421,34.7465071,-92.2896267
Puerto Rico,San Juan,16.49613428371073,2035,18.384239049999998,-66.05343997364733
Rhode Island,Providence,13.459826400012204,2495,41.8239891,-71.4128343
U.S. Virgin Islands,Christiansted,12.389580973952436,39,17.7439481,-64.7079823
Florida,Panama City,12.660833729592646,810,30.1586518,-85.6602936
Georgia,Augusta,12.730462003454232,397,33.4709714,-81.9748429
Pennsylvania,Allentown,14.41455725121082,814,40.6022059,-75.4712794
Florida,Sanford,14.102858344824362,2018,35.4798757,-79.1802994
Idaho,Idaho Falls,13.757431889562486,270,,
Ohio,Toledo,13.610972568578553,242,41.6529143,-83.5378173
South Dakota,Sioux Falls,16.37075718015666,1240,43.5476008,-96.7293629
Washington,Bellingham,7.435581828488137,449,48.7544012,-122.478836
Indiana,South Bend,15.374478481488442,693,41.6833813,-86.2500066
Illinois,Belleville,24.35371439952201,231,38.5135805,-89.9841627
Idaho,Boise,8.579178511910596,1376,43.6166163,-116.200886
Colorado,Grand Junction,11.525015003546292,433,39.0672568,-108.56448
Hawaii,Lihue,6.681417429637166,821,21.9769622,-159.3687721
California,Arcata,20.403542234332424,338,40.866517,-124.08284
Idaho,Twin Falls,11.694591984548527,21,42.5558542,-114.4700684
California,Santa Barbara,13.85284995520022,735,34.4221319,-119.702667
Wyoming,Casper,14.007683215130024,219,42.8501191,-106.325138
North Dakota,Williston,19.922464239271783,202,48.1465457,-103.621814
New York,Ithaca,16.553848015488867,392,42.437417499999995,-76.54837235139263
New York,Binghamton,17.993736951983298,50,42.098698,-75.9125187
Michigan,Marquette,24.47822706065319,156,46.4481521,-87.6305899
Wisconsin,Rhinelander,14.770231672484925,61,45.636623,-89.412075
Missouri,Cape Girardeau,17.923304805793286,146,37.3034933,-89.5230357
Pennsylvania,Latrobe,10.794620469569182,128,40.317287,-79.3840301
Texas,Lubbock,13.001055767127937,991,33.5855677,-101.8470215
Alaska,Kodiak,6.590365562008883,155,57.7901661,-152.4067073
Massachusetts,Nantucket,27.275017253278122,309,41.2727997,-70.0951867
Utah,Moab,19.26754716981132,86,38.5738096,-109.546214
Maine,Presque Isle,29.197282099343955,146,45.3375258,-83.9567881
Kentucky,Cincinnati,12.856608813341044,4546,39.1014537,-84.5124602
North Carolina,New Bern,12.679187957464439,310,35.1084931,-77.0441143
